WaterSourceID,WaterSourceUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,Geometry,GNISFeatureNameCV
1075,Luders Creek-CODWR,A1171,Luders Creek,Uknown,Fresh,,
1076,Luning Arroyo-CODWR,A1172,Luning Arroyo,Uknown,Fresh,,
1077,Luton Creek-CODWR,A1173,Luton Creek,Uknown,Fresh,,
1078,Luxen Draw-CODWR,A1174,Luxen Draw,Uknown,Fresh,,
1079,Lykins Gulch-CODWR,A1175,Lykins Gulch,Uknown,Fresh,,
1080,Lynch Creek-CODWR,A1176,Lynch Creek,Uknown,Fresh,,
1081,Lynch Draw-CODWR,A1177,Lynch Draw,Uknown,Fresh,,
1082,Lynx Creek-CODWR,A1178,Lynx Creek,Uknown,Fresh,,
1083,Macey Creek-CODWR,A1179,Macey Creek,Uknown,Fresh,,
1084,Mack Wash-CODWR,A1180,Mack Wash,Uknown,Fresh,,
1085,Mad Creek-CODWR,A1181,Mad Creek,Uknown,Fresh,,
1086,Maes Creek-CODWR,A1182,Maes Creek,Uknown,Fresh,,
1087,Maggie Gulch-CODWR,A1183,Maggie Gulch,Uknown,Fresh,,
1088,Maiden Creek-CODWR,A1184,Maiden Creek,Uknown,Fresh,,
1089,Mail Creek-CODWR,A1185,Mail Creek,Uknown,Fresh,,
1090,Main Elk Creek-CODWR,A1186,Main Elk Creek,Uknown,Fresh,,
1091,Major Creek-CODWR,A1187,Major Creek,Uknown,Fresh,,
1092,Mamm Creek-CODWR,A1188,Mamm Creek,Uknown,Fresh,,
1093,Mammoth Gulch-CODWR,A1189,Mammoth Gulch,Uknown,Fresh,,
1094,Mancos River-CODWR,A1190,Mancos River,Uknown,Fresh,,
1095,Mandall Creek-CODWR,A1191,Mandall Creek,Uknown,Fresh,,
1096,Manhattan Creek-CODWR,A1192,Manhattan Creek,Uknown,Fresh,,
1097,Mansfield Draw-CODWR,A1193,Mansfield Draw,Uknown,Fresh,,
1098,Marble Wash-CODWR,A1194,Marble Wash,Uknown,Fresh,,
1099,Marcy Gulch-CODWR,A1195,Marcy Gulch,Uknown,Fresh,,
1100,Mariano Wash-CODWR,A1196,Mariano Wash,Uknown,Fresh,,
1101,Marietta Creek-CODWR,A1197,Marietta Creek,Uknown,Fresh,,
1102,Markham Arroyo-CODWR,A1198,Markham Arroyo,Uknown,Fresh,,
1103,Markus Creek-CODWR,A1199,Markus Creek,Uknown,Fresh,,
1104,Maroon Creek-CODWR,A1200,Maroon Creek,Uknown,Fresh,,
1105,Marshall Creek-CODWR,A1201,Marshall Creek,Uknown,Fresh,,
1106,Martin Creek-CODWR,A1202,Martin Creek,Uknown,Fresh,,
1107,Marvine Creek-CODWR,A1203,Marvine Creek,Uknown,Fresh,,
1108,Maryland Creek-CODWR,A1204,Maryland Creek,Uknown,Fresh,,
1109,Mason Creek-CODWR,A1205,Mason Creek,Uknown,Fresh,,
1110,Massey Creek-CODWR,A1206,Massey Creek,Uknown,Fresh,,
